pilot_id	status	capability	primary_skill	fallback_used	evidence_file	verification
embedded-fullstack-discovery	evidence-ready	discovery	adk-requirements-triage+adk-grill-with-docs	no	docs/pilots/embedded-fullstack-discovery.md	rtk bash tests/run_all.sh
embedded-fullstack-long-task-recovery	evidence-ready	long-task	adk-planning-execution-loop	no	docs/pilots/embedded-fullstack-long-task-recovery.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot long-task --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-fullstack-skill-lifecycle	evidence-ready	skill-lifecycle	adk-skill-composition-governance	no	docs/pilots/embedded-fullstack-skill-lifecycle.md	rtk bash tests/run_all.sh
embedded-bugfix-systematic-debugging	evidence-ready	bugfix	adk-systematic-debugging	no	docs/pilots/embedded-bugfix-systematic-debugging.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot bugfix --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-tdd-test-strategy	evidence-ready	tdd	adk-test-strategy	no	docs/pilots/embedded-tdd-test-strategy.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot test-strategy --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-review-code-review-loop	evidence-ready	review	adk-code-review-loop	no	docs/pilots/embedded-review-code-review-loop.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot review --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-verification-completion	evidence-ready	completion-verification	adk-verification-before-completion	no	docs/pilots/embedded-verification-completion.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot verification --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-parallel-worktree-governance	evidence-ready	parallel-worktree	adk-parallel-agent-governance+adk-worktree-governance	no	docs/pilots/embedded-parallel-worktree-governance.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot parallel-governance --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-branch-closeout	evidence-ready	branch-closeout	adk-branch-closeout	no	docs/pilots/embedded-branch-closeout.md	rtk bash scripts/run-embedded-workflow-pilots.sh --pilot branch-closeout --out /tmp/adk-pilot/embedded-workflow-pilots
embedded-production-field-readiness	evidence-ready	production-field	adk-production-field-readiness	no	docs/pilots/embedded-production-field-readiness.md	rtk bash scripts/run-embedded-production-field-pilot.sh --mcu-root <firmware-release-tools> --soc-root <soc-build-root> --out /tmp/adk-pilot/embedded-production-field-readiness
